SKU,Description,CPT,JHB,DBN,"Total Stock","Dealer Price","Retail Price",Manufacturer,"Image URL"
TC-FLY02,"Linkbasic 2m Shielded UV Protected Cat5e Flylead",62,0,1,63,40,60,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY02.jpg
TC-FLY05,"Linkbasic 5m Shielded UV Protected Cat5e Flylead",70,155,0,225,85,115,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY05.jpg
TC-FLY10,"Linkbasic 10m Shielded UV Protected Cat5e Flylead",64,46,6,116,150,215,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY10.jpg
TC-FLY15,"Linkbasic 15m Shielded UV Protected Cat5e Flylead",40,26,3,69,215,295,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY15.jpg
TC-FLY20,"Linkbasic 20m Shielded UV Protected Cat5e Flylead",0,22,2,24,295,395,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY20.jpg
TC-FLY30,"Linkbasic 30m Shielded UV Protected Cat5e Flylead",22,30,3,55,425,575,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY30.jpg
TC-FLY50,"Linkbasic 50m Shielded UV Protected Cat5e Flylead",12,6,1,19,650,875,Linkbasic,https://scoop.co.za/download/marketing/images/TC-FLY50.jpg
TERM-JACK,"DC Terminal to 2.1mm Jack Adapter",285,395,43,723,5,6.75,"Locally Sourced",https://scoop.co.za/download/marketing/images/TERM-JACK.jpg
TOOL-CRIMP,"Linkbasic UTP Combo Crimp Tool RJ11/RJ12/RJ45",69,223,50,342,125,175,Linkbasic,https://scoop.co.za/download/marketing/images/TOOL-CRIMP.jpg
TOOL-EZCRIMP,"Linkbasic EZ Combo RJ45 Crimp Tool",103,103,18,224,175,245,Linkbasic,https://scoop.co.za/download/marketing/images/TOOL-EZCRIMP.jpg
TOOL-KRONE,"Linkbasic UTP Krone Tool",83,168,20,271,35,48,Linkbasic,https://scoop.co.za/download/marketing/images/TOOL-KRONE.jpg
TOOL-POE,"Passive and 802.3af/at PoE Detector",12,72,3,87,65,95,Scoop,https://scoop.co.za/download/marketing/images/TOOL-POE.jpg
